date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
2000:Q4,14229.8,9292.1,2056.0,656.3,6708.1,1653.4,792.3,77.4,2865.2,916.1,1969.9,-441.0,1338.1,1779.1
2001:Q1,14183.1,9325.8,2043.8,667.1,6736.9,1638.6,795.7,-41.6,2910.0,936.2,1994.2,-434.9,1321.3,1756.1
2001:Q2,14271.7,9344.5,2053.4,666.5,6747.7,1604.7,808.0,0.1,2960.5,949.8,2031.7,-417.4,1282.5,1699.9
2001:Q3,14214.5,9377.0,2062.9,674.1,6757.6,1585.7,813.1,-43.5,2957.6,955.5,2022.5,-444.5,1216.9,1661.4
2001:Q4,14253.6,9528.3,2080.3,730.3,6793.3,1540.1,807.9,-111.6,3006.6,966.9,2061.0,-469.6,1174.6,1644.2
2002:Q1,14372.8,9549.5,2089.1,722.3,6823.6,1503.2,834.3,-6.2,3059.3,998.7,2080.5,-490.7,1200.2,1690.9
2002:Q2,14460.8,9597.8,2090.5,726.9,6866.8,1486.3,855.0,32.4,3082.8,1018.1,2083.2,-511.6,1236.0,1747.5
2002:Q3,14519.6,9665.0,2094.0,748.7,6894.8,1481.4,857.6,26.6,3098.6,1028.1,2088.6,-529.9,1239.9,1769.8
2002:Q4,14537.6,9718.7,2119.1,741.8,6938.9,1461.5,873.0,39.7,3121.4,1045.6,2092.7,-579.9,1221.6,1801.5
2003:Q1,14614.1,9766.6,2136.2,742.5,6970.5,1468.7,889.1,41.3,3124.1,1057.7,2081.8,-575.9,1217.8,1793.7
2003:Q2,14743.6,9878.4,2153.3,776.3,7011.4,1509.3,903.2,-9.4,3152.7,1094.2,2070.4,-599.9,1220.0,1819.8
2003:Q3,14988.8,10018.1,2193.1,810.6,7057.8,1541.3,955.0,3.4,3159.9,1094.0,2078.3,-595.0,1253.3,1848.3
2003:Q4,15162.8,10087.1,2205.7,822.3,7098.4,1560.7,983.4,45.2,3178.9,1114.3,2075.2,-597.4,1309.7,1907.0
2004:Q1,15248.7,10181.1,2222.6,836.7,7157.1,1545.3,994.8,55.6,3193.3,1126.4,2076.5,-621.2,1339.3,1960.5
2004:Q2,15366.9,10236.7,2231.5,838.9,7204.2,1583.9,1026.4,92.0,3201.8,1133.0,2078.0,-670.3,1367.4,2037.7
2004:Q3,15512.6,10356.9,2247.5,860.5,7280.0,1629.2,1033.7,80.6,3207.8,1145.5,2070.3,-694.0,1371.9,2065.9
2004:Q4,15670.9,10474.1,2270.4,876.8,7354.1,1662.7,1048.0,87.9,3205.8,1143.4,2070.6,-709.5,1404.5,2114.1
2005:Q1,15844.7,10540.6,2291.8,881.0,7395.6,1686.8,1072.7,121.6,3221.7,1156.1,2072.9,-701.4,1430.8,2132.3
2005:Q2,15922.8,10657.4,2309.9,904.4,7462.8,1714.1,1092.5,30.1,3219.8,1154.9,2072.3,-698.0,1462.8,2160.8
2005:Q3,16047.6,10745.9,2318.5,922.1,7519.6,1749.8,1104.5,15.6,3230.4,1163.8,2073.5,-710.4,1462.5,2172.9
2005:Q4,16136.7,10765.7,2351.0,894.5,7549.7,1763.3,1102.3,101.0,3232.9,1164.3,2075.6,-735.1,1507.8,2243.0
2006:Q1,16353.8,10883.1,2375.0,930.0,7592.4,1822.5,1092.0,94.2,3273.9,1194.5,2084.9,-720.2,1569.0,2289.1
2006:Q2,16396.2,10939.5,2379.9,930.4,7647.0,1854.3,1037.3,95.2,3272.7,1186.4,2092.7,-713.8,1598.1,2311.9
2006:Q3,16420.7,11009.7,2393.5,943.7,7686.3,1886.1,979.9,95.3,3267.7,1175.6,2099.2,-739.0,1596.0,2335.0
2006:Q4,16561.9,11114.8,2426.8,957.0,7741.4,1906.1,934.3,54.8,3294.6,1192.7,2108.4,-675.5,1656.6,2332.0
2007:Q1,16611.7,11183.3,2435.0,969.9,7785.6,1940.4,892.2,29.7,3299.1,1185.5,2120.6,-676.6,1689.4,2366.0
2007:Q2,16713.3,11212.7,2429.9,980.1,7807.3,1983.5,857.1,54.9,3329.1,1205.0,2130.6,-663.6,1715.0,2378.6
2007:Q3,16809.6,11287.5,2437.5,992.1,7860.9,2014.6,802.6,36.3,3344.2,1215.5,2134.9,-623.3,1768.6,2391.9
2007:Q4,16915.2,11331.9,2435.5,999.5,7900.1,2045.7,735.8,31.2,3371.0,1235.8,2140.6,-560.1,1809.2,2369.3
2008:Q1,16843.0,11316.4,2416.6,967.2,7952.0,2053.8,677.3,-6.8,3378.7,1254.6,2128.8,-540.1,1838.0,2378.2
2008:Q2,16943.3,11347.6,2420.4,960.3,7991.3,2058.0,646.6,-29.6,3407.8,1281.4,2130.3,-463.7,1892.0,2355.7
2008:Q3,16854.3,11260.1,2385.1,927.9,7984.1,2019.6,613.8,-14.8,3435.1,1298.0,2140.8,-442.4,1883.6,2325.9
2008:Q4,16485.4,11158.8,2362.3,859.6,7997.2,1901.9,554.1,-78.1,3458.8,1314.9,2147.4,-469.0,1772.8,2241.8
2009:Q1,16298.3,11130.5,2361.4,861.1,7965.7,1758.6,500.3,-167.7,3498.1,1332.3,2169.1,-397.5,1631.3,2028.7
2009:Q2,16269.1,11075.7,2347.3,854.9,7931.7,1705.1,469.6,-219.1,3549.0,1363.9,2187.9,-304.4,1642.0,1946.4
2009:Q3,16326.3,11150.2,2354.7,896.4,7944.7,1695.2,491.4,-236.8,3558.5,1376.4,2184.6,-324.0,1702.7,2026.7
2009:Q4,16502.8,11137.9,2362.3,875.3,7952.2,1706.6,490.4,-57.5,3565.2,1396.9,2169.8,-328.8,1796.5,2125.3
2010:Q1,16582.7,11202.5,2374.8,886.0,7992.0,1718.7,474.6,-6.9,3549.8,1412.5,2137.8,-341.8,1836.9,2178.7
2010:Q2,16743.2,11303.0,2387.9,913.9,8046.0,1775.3,499.2,35.3,3560.6,1431.0,2129.5,-400.8,1877.3,2278.1
2010:Q3,16872.3,11383.6,2396.8,928.2,8101.9,1823.7,455.0,120.3,3535.4,1424.5,2110.6,-426.8,1931.0,2357.8
2010:Q4,16960.9,11453.4,2414.6,954.2,8121.5,1859.4,462.5,68.9,3512.9,1422.3,2090.2,-382.6,1983.8,2366.4
2011:Q1,16920.6,11497.1,2422.7,962.6,8147.7,1857.3,461.0,29.1,3469.8,1402.2,2067.3,-377.1,2000.8,2378.0
2011:Q2,17035.1,11509.0,2417.5,955.8,8174.9,1905.7,466.2,65.5,3446.1,1396.8,2048.8,-352.1,2034.7,2386.9
2011:Q3,17031.3,11544.0,2409.3,964.3,8210.4,1995.4,474.6,-14.9,3396.9,1366.4,2030.4,-350.6,2062.7,2413.3
2011:Q4,17222.6,11563.9,2408.7,987.4,8202.5,2046.6,486.9,97.7,3394.6,1371.5,2022.8,-366.7,2078.4,2445.0
2012:Q1,17367.0,11647.3,2426.3,1011.5,8239.8,2099.3,516.3,77.8,3380.2,1371.4,2008.2,-353.3,2103.7,2457.1
2012:Q2,17444.5,11667.8,2423.6,1013.4,8262.1,2146.7,520.8,89.5,3362.3,1360.5,2001.4,-341.8,2124.5,2466.2
2012:Q3,17469.7,11691.4,2424.8,1026.6,8269.4,2139.6,534.1,85.5,3357.2,1363.3,1993.4,-342.0,2137.5,2479.5
2012:Q4,17489.9,11738.0,2424.8,1049.8,8289.8,2162.9,562.0,24.0,3324.1,1336.2,1987.8,-316.6,2139.5,2456.1
2013:Q1,17662.4,11814.3,2461.5,1076.2,8296.0,2196.3,583.3,75.9,3293.1,1306.0,1987.2,-303.4,2150.6,2454.0
