date,DIV,NDPI,NPI,OLI,PINTI,PROPI,WSD
2006:Q4,716.7,10097.4,11494.9,1442.6,1233.0,1053.2,6181.1
2007:Q1,739.7,10267.7,11734.2,1462.2,1257.9,1017.2,6343.8
2007:Q2,784.1,10406.1,11902.0,1474.8,1340.9,998.5,6370.3
2007:Q3,796.9,10482.6,11981.4,1487.6,1346.5,987.1,6397.6
2007:Q4,799.5,10602.2,12110.8,1503.6,1355.7,978.8,6473.9
2008:Q1,856.4,10734.0,12269.1,1515.5,1324.7,965.0,6539.4
2008:Q2,828.9,11061.8,12614.3,1522.2,1319.8,967.5,6532.7
2008:Q3,801.8,10964.4,12461.9,1527.2,1373.5,957.2,6547.2
2008:Q4,735.6,10912.4,12357.3,1526.0,1365.4,951.5,6517.2
2009:Q1,676.1,10830.4,12032.8,1504.8,1306.1,913.8,6225.6
2009:Q2,580.0,10946.2,12077.3,1507.5,1285.1,902.0,6254.5
2009:Q3,519.6,10888.3,12023.6,1509.3,1254.0,935.0,6237.2
2009:Q4,486.8,10988.3,12129.0,1518.1,1246.2,1001.7,6279.2
2010:Q1,497.7,11096.9,12288.7,1534.4,1231.8,1057.1,6233.2
2010:Q2,520.7,11298.8,12512.0,1549.9,1221.8,1103.5,6360.7
2010:Q3,543.7,11382.0,12638.3,1559.7,1192.0,1129.0,6422.5
2010:Q4,584.4,11498.3,12787.4,1567.4,1198.6,1144.4,6473.6
2011:Q1,632.5,11711.6,13138.2,1592.8,1215.2,1181.2,6577.3
2011:Q2,665.5,11803.4,13249.2,1598.2,1217.0,1211.9,6608.2
2011:Q3,716.5,11921.1,13392.6,1605.7,1197.4,1252.1,6681.6
2011:Q4,747.2,11987.4,13458.4,1603.3,1234.6,1268.2,6637.6
2012:Q1,757.0,12252.1,13720.4,1620.1,1282.4,1297.7,6836.3
2012:Q2,784.4,12364.2,13851.9,1627.8,1304.5,1308.7,6876.0
2012:Q3,793.5,12301.8,13811.8,1640.0,1232.3,1286.8,6906.1
2012:Q4,992.0,12715.0,14287.1,1669.0,1268.0,1306.6,7094.2
2013:Q1,746.6,12254.0,13904.9,1688.7,1211.0,1339.6,7043.9
2013:Q2,771.0,12353.2,14037.1,1716.6,1192.9,1364.1,7103.0
2013:Q3,799.0,12447.3,14123.6,1732.7,1199.1,1363.1,7112.9
2013:Q4,810.0,12510.4,14209.5,1746.2,1203.4,1340.1,7196.3
2014:Q1,845.6,12714.4,14460.2,1755.6,1221.7,1349.4,7358.6
2014:Q2,912.1,12931.9,14691.4,1763.1,1248.8,1376.7,7409.4
2014:Q3,940.7,13089.1,14888.9,1777.6,1273.3,1381.9,7503.0
2014:Q4,969.8,13258.2,15095.9,1799.2,1297.8,1371.7,7634.3
2015:Q1,1012.7,13380.5,15286.1,1817.7,1309.5,1356.1,7746.2
2015:Q2,989.2,13487.8,15431.7,1835.4,1351.9,1339.9,7830.8
2015:Q3,989.5,13598.3,15546.5,1848.7,1358.4,1352.3,7903.0
2015:Q4,996.1,13664.8,15630.6,1858.0,1371.1,1342.5,7958.0
2016:Q1,1006.9,13782.4,15707.7,1858.9,1381.2,1335.9,7992.7
2016:Q2,1013.6,13841.8,15785.8,1866.0,1377.7,1334.0,8039.2
2016:Q3,1033.3,13968.1,15940.6,1879.2,1388.6,1355.9,8119.3
2016:Q4,1056.1,14123.3,16116.5,1895.3,1404.5,1371.1,8213.7
2017:Q1,1082.7,14353.1,16357.3,1913.3,1452.9,1409.4,8311.0
2017:Q2,1151.3,14538.8,16551.1,1933.8,1461.3,1419.7,8402.1
2017:Q3,1166.9,14692.1,16747.2,1960.1,1469.4,1423.9,8518.3
2017:Q4,1176.3,14871.8,16995.5,1992.7,1483.1,1461.5,8666.3
